epoch,batch,iter,loss,prec1,prec5,lr
1,1,1,1.979049087,18.75,78.125,0.04
1,2,2,0.752581894,100,100,0.04
1,3,3,0.629157245,87.5,100,0.04
1,4,4,0.068839155,100,100,0.04
1,5,5,0.022625748,100,100,0.04
1,6,6,0.755753398,87.5,96.875,0.04
1,7,7,0.003164123,100,100,0.04
1,8,8,1.132157326,87.5,90.625,0.04
1,9,9,0.95072186,87.5,90.625,0.04
1,10,10,0.001025228,100,100,0.04
1,11,11,0.000916342,100,100,0.04
1,12,12,0.000809343,100,100,0.04
1,13,13,0.001091796,100,100,0.04
1,14,14,0.001292443,100,100,0.04
1,15,15,1.30040884,87.5,100,0.04
1,16,16,0.000881623,100,100,0.04
1,17,17,0.000787636,100,100,0.04
1,18,18,0.936593652,87.5,100,0.04
1,19,19,1.164959073,87.5,100,0.04
1,20,20,0.000854722,100,100,0.04
1,21,21,0.002678004,100,100,0.04
1,22,22,0.002644318,100,100,0.04
1,23,23,0.662628233,87.5,100,0.04
1,24,24,0.76648128,87.5,100,0.04
1,25,25,0.013117958,100,100,0.04
1,26,26,0.021949951,100,100,0.04
1,27,27,0.020578083,100,100,0.04
1,28,28,0.744700968,87.5,100,0.04
1,29,29,0.019729873,100,100,0.04
1,30,30,0.016595645,100,100,0.04
1,31,31,0.039832693,100,100,0.04
1,32,32,0.50292927,87.5,100,0.04
1,33,33,0.01717082,100,100,0.04
1,34,34,0.006520106,100,100,0.04
1,35,35,0.004798852,100,100,0.04
1,36,36,0.032153308,100,100,0.04
1,37,37,0.003367089,100,100,0.04
1,38,38,0.004845841,100,100,0.04
1,39,39,0.000668301,100,100,0.04
1,40,40,0.64723146,87.5,100,0.04
1,41,41,0.002183271,100,100,0.04
1,42,42,1.350010276,87.5,100,0.04
1,43,43,0.502777755,87.5,100,0.04
1,44,44,0.58146435,87.5,100,0.04
1,45,45,0.070694536,100,100,0.04
1,46,46,0.055986792,100,100,0.04
1,47,47,0.093472064,100,100,0.04
1,48,48,0.077677548,100,100,0.04
1,49,49,0.078850195,100,100,0.04
1,50,50,0.023237266,100,100,0.04
1,51,51,0.029272195,100,100,0.04
1,52,52,0.010732996,100,100,0.04
1,53,53,0.703235686,87.5,100,0.04
1,54,54,0.606092334,87.5,100,0.04
1,55,55,0.452289551,87.5,100,0.04
1,56,56,0.01942108,100,100,0.04
1,57,57,0.569525957,87.5,100,0.04
1,58,58,0.022995567,100,100,0.04
1,59,59,0.014780141,100,100,0.04
1,60,60,0.599200606,87.5,100,0.04
1,61,61,0.507496595,87.5,100,0.04
1,62,62,1.284308434,75,100,0.04
1,63,63,0.526925087,87.5,100,0.04
1,64,64,0.990589678,75,100,0.04
1,65,65,0.096144117,100,100,0.04
1,66,66,0.075418323,100,100,0.04
1,67,67,0.117517591,100,100,0.04
1,68,68,0.323939949,87.5,100,0.04
1,69,69,0.095686108,100,100,0.04
1,70,70,0.140004545,100,100,0.04
1,71,71,0.074964851,100,100,0.04
1,72,72,0.604289591,87.5,100,0.04
1,73,73,0.448212057,87.5,100,0.04
1,74,74,0.04356578,100,100,0.04
1,75,75,0.024497749,100,100,0.04
1,76,76,0.019675989,100,100,0.04
1,77,77,0.012852214,100,100,0.04
1,78,78,0.476603568,87.5,100,0.04
1,79,79,0.621163368,87.5,100,0.04
1,80,80,0.530227304,87.5,100,0.04
1,81,81,0.03368897,100,100,0.04
1,82,82,0.067617945,100,100,0.04
1,83,83,0.05465525,100,100,0.04
1,84,84,0.055925112,100,100,0.04
1,85,85,0.032965485,100,100,0.04
1,86,86,0.03264517,100,100,0.04
1,87,87,0.031778149,100,100,0.04
1,88,88,0.040915884,100,100,0.04
